,Trial,Block,Rotation,Emphasis,Condition,Participant_Id,average,std
159,39,0,Sudden,Speed,Sudden_Speed,28,0.09055845909475008,0.08320378294450106
160,40,0,Gradual,Accuracy,Gradual_Accuracy,31,0.046980555012566004,0.027884195376641854
161,40,0,Gradual,Speed,Gradual_Speed,30,0.19369200199260034,0.29915393415523284
162,40,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05466613488366455,0.03275405976294229
163,40,0,Sudden,Speed,Sudden_Speed,28,0.08933630040362843,0.06738839444561037
164,41,0,Gradual,Accuracy,Gradual_Accuracy,31,0.046131671558056975,0.024480690259761826
165,41,0,Gradual,Speed,Gradual_Speed,30,0.17626826251602923,0.25505752338255333
166,41,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05251349171686302,0.023641106304456153
167,41,0,Sudden,Speed,Sudden_Speed,28,0.08614758887382738,0.06325799333244533
168,42,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04424534703387739,0.019305548027106743
169,42,0,Gradual,Speed,Gradual_Speed,30,0.15362409029679958,0.19793403367638251
170,42,0,Sudden,Accuracy,Sudden_Accuracy,29,0.050518966031148395,0.0167493398302622
171,42,0,Sudden,Speed,Sudden_Speed,28,0.08293516630017153,0.07629998430992037
172,43,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04202783099170096,0.014398284431603722
173,43,0,Gradual,Speed,Gradual_Speed,30,0.1299913829628115,0.1457390902774399
174,43,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04919991783298883,0.0166654537083473
175,43,0,Sudden,Speed,Sudden_Speed,28,0.0793674584096721,0.08662301497519116
176,44,0,Gradual,Accuracy,Gradual_Accuracy,31,0.040033005260654446,0.011105189449690864
177,44,0,Gradual,Speed,Gradual_Speed,30,0.10864497136021492,0.10851062965466016
178,44,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04893435466795224,0.020420970835383995
179,44,0,Sudden,Speed,Sudden_Speed,28,0.0745721048078863,0.08276568387836966
180,45,0,Gradual,Accuracy,Gradual_Accuracy,31,0.03837313315699171,0.009573671910508617
