,participant_id,rotation,emphasis,A,Af,As,B,Bf,Bs,condition,Bf-B,B-Bs,log(Bf/B),log(B/Bs),BA,BfAf,BsAs
35,35,Gradual,Accuracy,0.9866057495891536,0.5130432715941473,0.9889336790153543,0.0547645884547254,0.12284928892481914,0.04338930238630451,Gradual Accuracy,0.06808470047009374,0.011375286068420892,0.8079145217950353,0.2328308670694647,0.05403105784331586,0.06302700110300385,0.04290914243879781
36,36,Sudden,Speed,0.9999999999581218,0.07325108152723667,0.9999568105629273,0.004740958060658743,0.004794818887367618,0.004794813838379737,Sudden Speed,5.386082670887516e-05,-5.38557777209946e-05,0.011296698693871185,-0.01129564568422533,0.0047409580604602,0.0003512256692268996,0.004794606753069189
37,37,Sudden,Accuracy,0.9969413657656938,0.9405794132479461,0.99903945772658,0.010266004350904575,0.03410505482134814,0.005203822486615186,Sudden Accuracy,0.023839050470443563,0.005062181864289389,1.2006077205789167,0.6794444388366765,0.010234604398547361,0.03207851245265267,0.005198823995133418
38,38,Gradual,Speed,0.9963179748714424,0.8551091425004176,0.9966833027443618,0.009938034032532145,0.013624213094345056,0.008939343125341776,Gradual Speed,0.00368617906181291,0.0009986909071903697,0.31547936667868076,0.10590710708590441,0.0099014419414959,0.011650189176348361,0.008909694030530746
39,39,Gradual,Accuracy,0.9876848382078488,0.9608334111113206,0.9965671091728474,0.05331389767229195,0.06700775439331022,0.012476405100523672,Gradual Accuracy,0.01369385672101827,0.040837492571768275,0.22861130840293595,1.4523577729011425,0.052657328396687485,0.06438328922463384,0.012433574963898245
40,40,Sudden,Speed,0.2773542859661884,0.0008018277216037007,0.055176958835491244,1.5442701937437044e-11,3.717922804875061e-09,1.0076937691248714e-09,Sudden Speed,3.702480102937624e-09,-9.922510671874343e-10,5.483783880290897,-4.178283076768624,4.2830995692465254e-12,2.9811335717314102e-12,5.560147761778404e-11
41,41,Sudden,Accuracy,0.9647089420309755,0.8371355636649842,0.998061475437153,0.24716501669756258,0.3428491655418987,0.017924291847072976,Sudden Accuracy,0.09568414884433613,0.2292407248504896,0.327234402485432,2.6238993180893044,0.23844230176537398,0.28701122944798685,0.017889545167055786
42,42,Gradual,Speed,0.9999999847543545,0.5794676214733672,0.9999999963986088,0.0016674940569465007,0.0016548428458263748,0.001654826162132739,Gradual Speed,-1.2651211120125964e-05,1.2667894813761776e-05,-0.007615887635517937,0.00762596942532585,0.0016674940315244775,0.0009589278477832275,0.0016548261561730626
43,43,Gradual,Accuracy,0.997923841116011,0.9574164394828325,0.999068534540072,0.022789296769581233,0.02993411444642791,0.016048392278184817,Gradual Accuracy,0.007144817676846677,0.0067409044913964156,0.27270779558349273,0.35068231083311036,0.022741982568633204,0.028659413272370628,0.016033443755090315
44,44,Sudden,Speed,0.9798219220931874,0.03442597080418657,0.9804244122203372,0.00861619509972864,0.008197757577557908,0.008197704841221537,Sudden Speed,-0.00041843752217073267,0.0004184902585071034,-0.049782932764468796,0.049789365804906914,0.00844233684374602,0.0002822157630248078,0.008037229950510438
45,45,Sudden,Accuracy,0.9999999999075901,0.07423905617628848,0.9999999994034738,0.0010223775007176714,0.004850550328012461,0.0010138514365810283,Sudden Accuracy,0.00382817282729479,8.526064136643065e-06,1.5569613701467997,0.008374415871167386,0.0010223775006231936,0.0003601002782872316,0.0010138514359762393
46,46,Gradual,Speed,0.8878573704370298,0.8878561195900958,0.8880539251494883,0.11594702384246819,0.06010358162260329,0.05574271338509444,Gradual Speed,-0.0558434422198649,0.06020431045737375,-0.6570639616264925,0.7323866955926853,0.10294441969877341,0.05336333275291115,0.04950253542011604
47,47,Gradual,Accuracy,0.9948307442351192,0.9534169607219343,0.9974084679045805,0.02383892586878501,0.03841592875253704,0.012642928253684304,Gradual Accuracy,0.014577002883752032,0.011195997615100706,0.4771523995047096,0.6342217578145974,0.023715696363809227,0.03662639803455423,0.012610163699334796
48,48,Sudden,Speed,0.9999999999758903,0.6048839261999851,0.9999999750391368,0.002653892140068748,0.002653828947844608,0.0026481477324841363,Sudden Speed,-6.319222414005038e-08,5.744407584611696e-06,-2.381143360633909e-05,0.002166867835905836,0.0026538921400047636,0.001605258473435422,0.0026481476663840833
49,49,Sudden,Accuracy,0.9988226961759545,0.7851290943983538,0.9989429417399738,0.012925559692012398,0.04482154784147678,0.012488748109487777,Sudden Accuracy,0.031895988149464385,0.00043681158252462104,1.243482279878205,0.034378634826131994,0.012910342381159064,0.03519070126631115,0.012475546775141257
50,50,Gradual,Speed,0.9985055293545636,0.17807040570896232,0.9985371966592276,0.010630569887943989,0.010513313101717096,0.010513024201310403,Gradual Speed,-0.00011725678622689223,0.00011754568663358521,-0.01109143371236883,0.011118913572750405,0.010614682813302197,0.0018721099293681125,0.010497645714387105
51,51,Gradual,Accuracy,0.9994987150976807,0.19352386684669662,0.999530600333961,0.011909306518316952,0.011788949092771214,0.011788369353770433,Gradual Accuracy,-0.00012035742554573729,0.00012093716454651855,-0.010157579727096858,0.010206757414730141,0.011903336562762226,0.0022814430144919413,0.011782835897132629
52,52,Sudden,Speed,0.9983136513630806,0.881173685756613,0.9994502471655894,0.009199333379890078,0.05740898603589795,0.006210544380846863,Sudden Speed,0.04820965265600788,0.0029887889990432154,1.831069819498581,0.39288246864671456,0.009183820096584333,0.05058728782080213,0.00620713011647026
53,53,Sudden,Accuracy,0.9820735687810649,0.4998816262428907,0.9858858715691181,0.11086357154141854,0.37624756970733686,0.078645325461972,Sudden Accuracy,0.2653839981659183,0.03221824607944654,1.2219469966374397,0.34335216710287647,0.1088761833514958,0.18807924701523893,0.07753531523791322
54,54,Gradual,Speed,0.9999999998659426,0.5445042737195105,0.9999986769018352,0.005468330310222319,0.005931191651370948,0.00547994553667169,Gradual Speed,0.0004628613411486295,-1.161522644937095e-05,0.08125182092969377,-0.002121837441737329,0.005468330309489248,0.0032295592024209623,0.0054799382861658065
55,55,Gradual,Accuracy,0.9687926413090626,0.9674201260059621,0.9916906560060677,0.0926103923948181,0.09642320404042598,3.6263848427254384e-07,Gradual Accuracy,0.003812811645607886,0.09261002975633383,0.04034551422438303,12.450505495283974,0.08972026666084455,0.09328174820268749,3.5962519636128506e-07
56,56,Sudden,Speed,0.9938446163600807,0.6933518428212417,0.9977306541376257,0.0036354627456038234,0.06734456740922415,0.0011774862463251735,Sudden Speed,0.06370910466362033,0.00245797649927865,2.9190858318648822,1.1273545392257955,0.0036130850776959975,0.0466934799171849,0.001174814122784073
57,57,Sudden,Accuracy,0.9981409399273913,0.8873159166455596,0.999163545046715,0.023621013099155194,0.09681395787329822,0.01700085078265965,Sudden Accuracy,0.07319294477414302,0.006620162316495544,1.4106544753628012,0.32887331258814784,0.023577100216827986,0.0859045657744302,0.016986630336812435
58,58,Gradual,Speed,0.996710824900344,0.249781075347288,0.9968255690995617,0.007955426155168758,0.0077595557687903886,0.007759159054092991,Gradual Speed,-0.0001958703863783693,0.00019626710107576665,-0.024929144819751434,0.024980272081513853,0.007929259365552025,0.0019381901841457152,0.007734528139830263
59,59,Gradual,Accuracy,0.9961913486631675,0.28881277331109445,0.9969309267863093,0.021259138947375356,0.4087304396727149,0.016453165341603848,Gradual Accuracy,0.38747130072533953,0.0048059736057715075,2.9562689960252935,0.25626899034678063,0.021178170299403526,0.11804657181853977,0.01640266937257351
