,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(5.Gradual).7,1.2368325658398078,0.07297736395742949,1.1038611401808671,1.1854341072086436,1.2335858707668885,1.2847735132069442,1.387756800735278,0.0010327977768784902
a_subj(5.Gradual).9,2.0769729467752014,0.18862868817134804,1.7477996467373693,1.948404273045374,2.059997199023069,2.1909944316375567,2.488924299800225,0.0038674935484604525
a_subj(5.Gradual).11,3.6631954620569265,0.3920787864651589,2.963151006191743,3.3870593093190693,3.641172275996258,3.911056914819288,4.489677196112789,0.010051098363792144
a_subj(5.Gradual).13,2.4550553286359427,0.14655982842669496,2.1756597690505908,2.354232069060661,2.45141415870964,2.5510072122083147,2.754958355476761,0.001563692030412894
a_subj(5.Sudden).0,2.516285582942161,0.15716508334380877,2.224083330877041,2.4098718989267214,2.511102881848238,2.620027078963055,2.8379709863788225,0.0017664639393532636
a_subj(5.Sudden).2,4.155011750503115,0.4263835398056347,3.393346467115207,3.865441107514384,4.131719845427963,4.419501364470939,5.063449939134442,0.013156768275868244
a_subj(5.Sudden).4,2.5844138205686793,0.23655901385530778,2.15332171446664,2.4184491738320433,2.574035118044716,2.7362049444836614,3.081680069847893,0.005952355286349604
a_subj(5.Sudden).6,2.0576056087591272,0.12565586200819917,1.8253416330944001,1.9701153318425566,2.053557486790875,2.1410247195876058,2.31273059123858,0.0013937896006754838
a_subj(5.Sudden).8,2.001204174744654,0.12839361282107048,1.7677470765394623,1.9121261637081002,1.9956383517738632,2.0852409863544645,2.2704648263968705,0.0015492945161239267
a_subj(5.Sudden).10,1.683860637654691,0.09197294982055763,1.5116707335527362,1.6216330822489273,1.6814607441243137,1.7432253018805102,1.870070070215958,0.001060066004852738
a_subj(5.Sudden).12,2.5534219083461074,0.14574838632801662,2.2765538018175935,2.4519044794637463,2.5533269068680884,2.6497437048859833,2.8479319470269537,0.0015948608237159735
a_subj(6.Gradual).1,3.179678756617716,0.3157243270102191,2.649908159902637,2.961615024791714,3.1442667401432836,3.3606137538290404,3.9085998736766507,0.007004836147627409
a_subj(6.Gradual).3,2.4791266127970015,0.2759532200162154,1.9865903989127172,2.2843911438667766,2.461863184721623,2.6554467559064654,3.059126837801861,0.009744295039943413
a_subj(6.Gradual).5,3.840033926074836,0.4033231967174756,3.1489997870979622,3.5480596628470567,3.805583682705206,4.099196449226332,4.7059799630358174,0.009167309620815531
a_subj(6.Gradual).7,1.4244658124694465,0.09381485289836751,1.2532736640301787,1.3583013119870717,1.4210734509865715,1.485212710062941,1.618802407866065,0.0010851523372897407
a_subj(6.Gradual).9,2.2621170623467632,0.173128623046272,1.9619349821078167,2.1403516364666872,2.249120593252465,2.3680482340912627,2.63199414246951,0.0030667284822654696
a_subj(6.Gradual).11,3.8051739602514036,0.3520846481216224,3.1816279755516637,3.5585504128305523,3.782257690019536,4.03089620638614,4.550069071128203,0.008100941200665207
a_subj(6.Gradual).13,2.4641919252892626,0.1393820036371765,2.200412983834835,2.367748302234446,2.461091562979412,2.5561626881472934,2.748194140244,0.0015886595684359377
a_subj(6.Sudden).0,2.718023695392935,0.22362082805312342,2.322034933682625,2.560318259862779,2.703013889020494,2.8590125413939864,3.1935508351454334,0.0029662223966908565
a_subj(6.Sudden).2,4.696467824790589,0.4840175433324279,3.8104590777975753,4.356860720466623,4.678996664238658,5.014813584242755,5.691490332186415,0.018629081174695594
a_subj(6.Sudden).4,2.189275271191528,0.156222120315953,1.9118712106320888,2.079928151997804,2.181338059349796,2.2904995427958825,2.51614164939244,0.00238867892033018
a_subj(6.Sudden).6,4.213781573681114,1.3411274195444505,2.1408524064848615,2.5615099066115383,4.654142860301454,5.208810034892247,6.370627129367927,0.12296818506403004
a_subj(6.Sudden).8,2.0879738117083066,0.14297156762213176,1.8297165377007107,1.9889698478058744,2.0810682562874807,2.1796669538732036,2.3918041119483515,0.0022629852007599377
a_subj(6.Sudden).10,1.78210101904481,0.09733809518499617,1.600585797443574,1.7150671721221222,1.779008387999847,1.845929360412084,1.9789828298394387,0.0009580909469480014
a_subj(6.Sudden).12,2.5014911535928035,0.1655861018641902,2.195598033553857,2.38676280354882,2.4952627145216733,2.6086777465397524,2.844464526962978,0.002063049856947602
a_subj(7.Gradual).1,2.576918021072736,0.15440213388893806,2.287260153037458,2.470202745517037,2.572409308025113,2.675718729141192,2.8959283138082483,0.0022665243353233635
a_subj(7.Gradual).3,2.717239451380224,0.23463213803776317,2.3002907317581625,2.5499665413855297,2.704432843417332,2.8648902118371993,3.222726253746203,0.0067676919664103495
a_subj(7.Gradual).5,3.6205946194970333,0.3644966019930513,2.9490915019001602,3.3683427646277364,3.608165787493414,3.857708316438668,4.372987377737503,0.008898747614009023
a_subj(7.Gradual).7,1.547486539204514,0.10908931503187545,1.3526496312428984,1.4708525916038768,1.541490381493843,1.6198073405530982,1.7778970062201986,0.001477404949114155
a_subj(7.Gradual).9,1.5823749233822622,0.09293515233409744,1.4062192680935086,1.5195851060272112,1.5798702169615002,1.644577681812209,1.7675838476297585,0.0010882569279264244
a_subj(7.Gradual).11,3.4383253780523173,0.30451169743806505,2.879027222164936,3.227789059895075,3.4252046970474446,3.6366132831192184,4.077983606058251,0.005798345130894096
a_subj(7.Gradual).13,3.0926973613137565,0.20428123293235434,2.718788118930738,2.953277493526993,3.086358569163397,3.2244390128699685,3.5181782014608425,0.002302891955046211
a_subj(7.Sudden).0,1.9541712869081371,0.17023317192315865,1.6527631175129378,1.8340124364647354,1.942788610409007,2.0641425596303407,2.3128620783892644,0.0034478314987701035
a_subj(7.Sudden).2,3.42771503907929,0.36951311610228843,2.7629771354382826,3.1681305019016404,3.4090782040809784,3.6639851225851183,4.2088213459023365,0.01371238108089351
a_subj(7.Sudden).4,3.0540243536338507,0.2964542386897844,2.5072714298329,2.8489197110962667,3.0388795678048366,3.2452272238582003,3.669990023477404,0.00887400461936986
a_subj(7.Sudden).6,2.0791868906745283,0.12816745604592336,1.842643491401386,1.9908277524725113,2.0744256021773904,2.162244043520708,2.3456565743221254,0.0013494174040851038
a_subj(7.Sudden).8,1.626455132170251,0.09326713215251994,1.4488869180858233,1.56262888488735,1.6257834020231843,1.6873774035132363,1.8159212972025824,0.0011005925855611773
a_subj(7.Sudden).10,1.7499899971581123,0.09118031915519824,1.5758453034015352,1.686711799794184,1.7463184912760408,1.8103400248574906,1.9325442731978077,0.0010899343863005782
a_subj(7.Sudden).12,2.6232891830311025,0.246880581341073,2.2357415329315504,2.459794971557957,2.59347825658529,2.7497509692940874,3.210920586378776,0.0057997730106406666
a_subj(8.Gradual).1,2.9982743858259084,0.21606293868516527,2.601999323119455,2.849440692944941,2.9872664005591227,3.1377966563011785,3.4466616046838645,0.00385500155501994
a_subj(8.Gradual).3,2.999748705847732,0.5348769705500598,2.2787439662826316,2.630138820094899,2.8756361807819446,3.2304248722045656,4.40175825665056,0.021084604409353825
a_subj(8.Gradual).5,1.8015626246175271,0.10420927479841403,1.6077815156708308,1.7301570144635798,1.7976886937364287,1.8704959062197983,2.016121594882706,0.0012538662154835088
a_subj(8.Gradual).7,1.7051229370444048,0.1197399901710938,1.4842779057740854,1.6228305588082654,1.6999766696192256,1.783057300695261,1.9523452614899275,0.001353980324853274
a_subj(8.Gradual).9,2.180466550301736,0.12163503713291292,1.95301463951271,2.0968187069510758,2.1767879247492004,2.2598924033829366,2.42600838073826,0.0013361494845506485
a_subj(8.Gradual).11,3.1183449251005135,0.238180732867787,2.6826023489325155,2.9538481937235326,3.1053160517309615,3.2688817100347625,3.6262318577840307,0.0038858148513127065
a_subj(8.Gradual).13,3.12301815233964,0.18847000441180317,2.7759321393854304,2.9951987770066206,3.114640268907551,3.2452000373748593,3.507558370636483,0.0023227076562961115
a_subj(8.Sudden).0,2.6929949725528357,0.541035897751102,1.8893145118035073,2.2388124051384044,2.628837153307878,3.0874392069585173,3.845690539688523,0.029767895042998642
a_subj(8.Sudden).2,3.209010198360422,0.3861354851539304,2.5136823913371398,2.9437194009766072,3.1750916476003255,3.451194188170748,4.050835605238188,0.015154660279096602
a_subj(8.Sudden).4,3.9018346206497556,0.40034304173461616,3.1537506455276616,3.63070257008888,3.882488018869165,4.1701585861604435,4.721470677015122,0.01287952829022719
a_subj(8.Sudden).6,2.2326248486161155,0.15446791799366152,1.9498827277583501,2.1255443791370485,2.228031530046057,2.3343501667978863,2.550290498225621,0.0018994683072093743
a_subj(8.Sudden).8,1.9073099122223987,0.1835170537013105,1.6017841130307826,1.7789318678595298,1.8885712880171874,2.0139019670233775,2.3254779129968917,0.004205002224053332
a_subj(8.Sudden).10,1.610630760764341,0.08859254242575096,1.4469123275379192,1.5487894013863581,1.6079886176267286,1.6687600504196665,1.7928365771454913,0.0009746012232746823
a_subj(8.Sudden).12,2.1887102207538303,0.15939716765947953,1.8901129217278876,2.0816189471371445,2.1831790867817387,2.2909946791632394,2.5151047477439663,0.0021021207959547135
a_subj(9.Gradual).1,2.937451335021036,0.19953144669622275,2.5650568348584017,2.8044937525973896,2.9299595448724713,3.066555131626192,3.3473000444849204,0.0034884414559336573
a_subj(9.Gradual).3,2.292856912704127,0.14109211961047546,2.0371100635249553,2.1949721252309446,2.286729023281441,2.383742263791067,2.5845183280227286,0.002509184031483737
a_subj(9.Gradual).5,1.1613121243634856,0.07511153291082615,1.0249806371659111,1.1088036747489252,1.1574949443731386,1.2093464625760295,1.321057270954733,0.0012307018976541017
a_subj(9.Gradual).7,1.5760305309386726,0.09632806117828667,1.3978348658632735,1.5098605678833104,1.5717028588065278,1.6384517449969231,1.775318840495232,0.0011762431734184669
a_subj(9.Gradual).9,2.4864358905410566,0.1539596681036397,2.2010401585630377,2.3820559758399122,2.481383471213411,2.5873043268879856,2.8069529208544415,0.0017097891550921021
a_subj(9.Gradual).11,1.9381714290820435,0.18852193911502382,1.5969896202939018,1.8064399220555127,1.9270352469204037,2.0569533215487072,2.33550906880151,0.004063463273077205
a_subj(9.Gradual).13,2.175467089795173,0.1339459052037225,1.9252370402090069,2.0821590067711293,2.1715966711549637,2.264839268338485,2.451599530948296,0.0015665862807224113
a_subj(9.Sudden).0,1.54964042222358,0.11185891368695962,1.3418278038915443,1.472515268980012,1.5446471658187622,1.6220101063242707,1.7819422088882813,0.0017377126911785872
