,participant_id,condition,Trial,ITs,block,MTs
436,2,Sudden,31,0.0,0,0.0
437,3,Gradual,31,0.6333546745590866,0,0.1499963323585689
438,4,Sudden,31,0.7504762387834489,0,0.9507331708446145
439,5,Gradual,31,1.3409480572445318,0,0.3003459225874394
440,6,Sudden,31,0.6167313316836953,0,0.31661765743047
441,7,Gradual,31,1.2666441895999014,0,0.6837400291115046
442,8,Sudden,31,1.6511470382101834,0,0.17010486335493624
443,9,Gradual,31,0.6804731835145503,0,0.23016197374090552
444,10,Sudden,31,1.3832958340644836,0,0.2999796560034156
445,11,Gradual,31,1.266583216842264,0,0.4500328707508743
446,12,Sudden,31,1.2709388812072575,0,0.3602487863972783
447,13,Gradual,31,2.2165662676970896,0,0.43332209460459126
448,0,Sudden,32,0.0,0,0.0
449,1,Gradual,32,0.0,0,0.0
450,2,Sudden,32,0.0,0,0.0
451,3,Gradual,32,0.8667115825228393,0,13.549347829539329
452,4,Sudden,32,0.8507476293016225,0,0.1500957307871431
453,5,Gradual,32,1.230849291314371,0,0.2702277172356844
454,6,Sudden,32,0.9333571391180158,0,0.18332559615373611
455,7,Gradual,32,1.4832705394364893,0,0.7167087541893125
456,8,Sudden,32,1.5216533651109785,0,0.14970237365923822
457,9,Gradual,32,0.7806259207427502,0,3.94263329799287
458,10,Sudden,32,2.0165640492923558,0,0.19997627474367619
459,11,Gradual,32,1.1999868396669626,0,0.9166026250459254
460,12,Sudden,32,1.200867221225053,0,0.800537598785013
461,13,Gradual,32,1.4166242824749133,0,0.23327102228267904
462,0,Sudden,33,0.0,0,0.0
463,1,Gradual,33,0.0,0,0.0
464,2,Sudden,33,0.0,0,0.0
465,3,Gradual,33,1.2166154868900776,0,0.0667012594640255
466,4,Sudden,33,0.951063089305535,0,0.1296253870241344
467,5,Gradual,33,1.0207360363565385,0,0.2701981357531622
468,6,Sudden,33,1.4499993659555912,0,0.16674373764544725
469,7,Gradual,33,0.7833827054128051,0,0.733255899976939
470,8,Sudden,33,1.3709832532331347,0,0.24020640645176172
471,9,Gradual,33,1.6711761367041618,0,1.1307442467659712
472,10,Sudden,33,1.5999333527870476,0,0.31667047971859574
473,11,Gradual,33,1.2666713553480804,0,0.6333101717755198
474,12,Sudden,33,1.3009807178750634,0,0.40029822988435626
475,13,Gradual,33,1.4832763800468456,0,0.4166269990873843
476,0,Sudden,34,0.0,0,0.0
477,1,Gradual,34,0.0,0,0.0
478,2,Sudden,34,0.0,0,0.0
479,3,Gradual,34,0.6666585165075958,0,0.11671029962599277
480,4,Sudden,34,0.6406827894970775,0,0.17988921632058918
481,5,Gradual,34,1.2912040279479697,0,0.34993389435112476
