p_id,Block,Rotation,Emphasis,avgerrors_mean,avgerrorsdegrees_mean,smoothedavgerror_mean,smoothedavgerrordegrees_mean,initerrors_mean,initerrorsdegrees_mean
26,11,Gradual,Speed,0.4133003681615033,0.4032282589340596,0.41330036816150334,23.680366766857244,0.49087386068448385,23.680366766857244
27,0,Gradual,Accuracy,0.06636779819364358,0.07487884184267496,0.06636779819364358,3.802594732071746,0.04908740496867576,3.802594732071746
27,1,Gradual,Accuracy,0.03814276324367244,0.04178480487272932,0.038142763243672446,2.185419352829157,0.05371706833544633,2.185419352829157
27,2,Gradual,Accuracy,0.07826069787989232,0.09198110960267301,0.07826069787989232,4.484007690266259,0.08039913353450415,4.484007690266259
27,3,Gradual,Accuracy,0.1085887039888065,0.12643216354660813,0.10858870398880652,6.221674441354021,0.08234810860536797,6.221674441354021
27,4,Gradual,Accuracy,0.11171075701407378,0.13030236442577198,0.11171075701407378,6.400554903117886,0.09745724148799487,6.400554903117886
27,5,Gradual,Accuracy,0.19658068443495758,0.21448161190413495,0.1965806844349576,11.263243551916146,0.15691281521807232,11.263243551916144
27,6,Gradual,Accuracy,0.2594624574763829,0.2589319052507268,0.2594624574763829,14.866103755489336,0.15524954201406674,14.866103755489334
27,7,Gradual,Accuracy,0.27479207373303416,0.26894466266016454,0.2747920737330342,15.744426068550588,0.2171208217857663,15.744426068550586
27,8,Gradual,Accuracy,0.3205344395375668,0.3094226451488216,0.3205344395375668,18.36527057409384,0.3179735593643508,18.36527057409384
27,9,Gradual,Accuracy,0.4356751678994589,0.42204809686369293,0.4356751678994589,24.96234835929252,0.5568145382162032,24.96234835929252
27,10,Gradual,Accuracy,0.3069913358006814,0.29918625438391117,0.3069913358006814,17.589307888462457,0.3926990922354363,17.589307888462457
27,11,Gradual,Accuracy,0.5305088868766125,0.5273745555218347,0.5305088868766126,30.395920212213124,0.6013204737902552,30.39592021221312
28,0,Sudden,Speed,0.07008185439769185,0.0777910025275846,0.07008185439769186,4.015394477438091,0.049087404968675766,4.015394477438091
28,1,Sudden,Speed,0.31586061054757014,0.3185678346892225,0.3158606105475702,18.097479898801147,0.803580447695193,18.097479898801144
28,2,Sudden,Speed,0.22919800878822996,0.22949673097183562,0.22919800878823,13.13207857636793,0.801169344142875,13.13207857636793
28,3,Sudden,Speed,0.16791059955711654,0.17746226241619475,0.16791059955711657,9.620568690134009,0.45405832539722324,9.620568690134009
28,4,Sudden,Speed,0.1267646648289579,0.1502984164286516,0.12676466482895793,7.263080286089754,0.22089324926060055,7.263080286089754
28,5,Sudden,Speed,0.11186027658702108,0.12980012187021664,0.11186027658702109,6.409121743602365,0.25770878718203916,6.409121743602365
28,6,Sudden,Speed,0.18872482235659224,0.1901773594743219,0.18872482235659224,10.813135810388939,0.4540583247386787,10.813135810388939
28,7,Sudden,Speed,0.13954616209490744,0.16584223948058688,0.13954616209490747,7.9954061352866646,0.23316509523441342,7.995406135286664
28,8,Sudden,Speed,0.08332543725676968,0.09080062466851425,0.08332543725676968,4.774195880895051,0.5522330977975377,4.774195880895051
28,9,Sudden,Speed,0.10766010675501504,0.1175903648818657,0.10766010675501506,6.168469738990248,0.3486390643746271,6.168469738990247
28,10,Sudden,Speed,0.08816584459706607,0.09969447828834022,0.08816584459706608,5.051530792618179,0.17180586536534903,5.051530792618179
28,11,Sudden,Speed,0.11414320354584513,0.12979461068395776,0.11414320354584513,6.5399238232796195,0.12271848147009753,6.539923823279619
29,0,Sudden,Accuracy,0.043915570858416735,0.04890238565998972,0.04391557085841674,2.5161768650949887,0.02454371302105001,2.5161768650949887
29,1,Sudden,Accuracy,0.529669379825122,0.529669379825122,0.5296693798251221,30.347820001291247,1.3261818566268484,30.347820001291243
29,2,Sudden,Accuracy,0.45553845295779616,0.45529965915031095,0.45553845295779616,26.100430760400513,0.8707894418259532,26.10043076040051
29,3,Sudden,Accuracy,0.42116089323687217,0.4197731832718275,0.4211608932368722,24.130741678432635,0.6123114909889253,24.130741678432635
