p_id,Block,Rotation,Emphasis,initerrors_mean,initerrorsdegrees_mean
20,5,Sudden,Speed,0.4083973399309581,23.39944394241351
20,6,Sudden,Speed,0.3314836796783113,18.992615823033734
20,7,Sudden,Speed,0.24028545765127948,13.767342601787789
20,8,Sudden,Speed,0.2820952044763281,16.16286463737357
20,9,Sudden,Speed,0.29686461122242075,17.009089309836725
20,10,Sudden,Speed,0.27632946443445583,15.832512067204703
20,11,Sudden,Speed,-0.2884071108264972,-16.524510231920083
21,0,Sudden,Accuracy,0.11412426524603542,6.538838738629369
21,1,Sudden,Accuracy,1.812124356703035,103.82707759194322
21,2,Sudden,Accuracy,1.8178214314829162,104.15349593240086
21,3,Sudden,Accuracy,1.6014509920927564,91.75638294395351
21,4,Sudden,Accuracy,1.5236834869728844,87.30063311732283
21,5,Sudden,Accuracy,1.656259082020945,94.8966551800122
21,6,Sudden,Accuracy,1.5181784313079054,86.98521666173494
21,7,Sudden,Accuracy,1.3800515737621413,79.0711306869579
21,8,Sudden,Accuracy,1.3390225560209947,76.72034113282284
21,9,Sudden,Accuracy,1.4667114012096765,84.03637305303364
21,10,Sudden,Accuracy,1.1894093487047566,68.14813579418659
21,11,Sudden,Accuracy,-0.1352923500862013,-7.751680660345734
22,0,Gradual,Speed,0.09122137571311029,5.22659982973841
22,1,Gradual,Speed,0.20414152815653233,11.696447986720363
22,2,Gradual,Speed,0.16783837044189862,9.616430266674055
22,3,Gradual,Speed,0.32587506854859694,18.671266076370998
22,4,Gradual,Speed,0.33691048059906864,19.303548612050836
22,5,Gradual,Speed,0.2911159958641847,16.67971791176571
22,6,Gradual,Speed,0.3594148988690742,20.592956799319257
22,7,Gradual,Speed,0.4166989780328928,23.87509276869936
22,8,Gradual,Speed,0.6341062248938155,36.331610449389046
22,9,Gradual,Speed,0.606150728481568,34.72987849077415
22,10,Gradual,Speed,0.19808611010367966,11.349498089104578
22,11,Gradual,Speed,-0.34903878677938066,-19.99844936882515
23,0,Gradual,Accuracy,0.07445425891120865,4.265914802386555
